,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS
PitcherID,10000001,10000004,10000007,10000012,10000060,10000066,10000071,10000095,10000096,10000101,10000113,10000117,10000151,10000153,10000155,10000184,10000189,10000193,10000202,10000247,10000249,10000250,10000276,10000291,10000328,10000330,10000335,10000342,10000364,10000367,10000371,10000372,10000421,10000426,10000432,10000466,10000469,10000506,10000519,10000520,10000555,10000556,10000564,10000567,10000569,10000602,10000613,10000622,10000694,10000746,10000748,10000786,10000805,10000807,10000842,10000843,10000848,10000850,10000886,10000895,10000931,10000970,10000977,10000981,10000986,10001017,10001025,10001031,10001064,10001065,10001072,10001150,10001154,10001157,10001161,10001186,10001187,10001191,10001202,10001203,10001243,10001250,10001290,10001303,10001305,10001333,10001335,10001337,10001345,10001350,10001353,10001629,10001986,10001993,10002046,10002058,10002066,10002077,10002091,10002098,10003142,10003206,10003212,10003259,10003284,10003322,10003325,10003360,10004421,10005232,10005234,10005288,10005290,10005294,10005311,10005315,10005327,10005337,10005349,10005351,10005587,10005787,10005835,10005848,10005879,10005913,10006172,10006183,10006353,10006438,10006571,10006766,10006824,10007245,10007361,10007523,10008667
BatterID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000029,,,,0.375,,,0.8,,,,,,,,,,,,,,,,,,,,,,1.6669999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,0.111,,,,,,,,,,,,,,,,,,,,0.9440000000000001,,,,0.77,,,,,,,,,,,,,,,,,,,,0.778,1.834,,,,,,,,,,,,,,,,,,,,,,,,
10000031,,,,0.875,,,0.9209999999999999,,,,,,,,,0.733,,,,,,,,,,,,,1.069,,,,,,0.708,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32899999999999996,,0.599,,,,1.0859999999999999,,,,,,,0.63,,,,,,,,,,,,,1.376,,0.802,,1.088,0.861,,1.571,0.496,,,,,,,,,,,,,,,,0.5529999999999999,1.286,,,,,,,1.611,,,,,,,,,,,,,,,,,
10000034,,,,,,,0.7390000000000001,,,,,,,,,0.606,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,0.46299999999999997,,,,,,,0.8440000000000001,,,,,,,,,,,,,0.9279999999999999,,0.6659999999999999,,0.985,,,,1.556,,,,,,,,,,,,,,,,0.539,0.637,,,,,,,0.925,,,,,,,,,,,,,,,,,
10000038,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0090000000000001,,,,0.581,,,,,,,,,,,,,,,,,,,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14300000000000002,,,1.08,0.512,,,,,0.629,,,,,,,,,,,0.857,,,,0.528,,,,0.6659999999999999,,,,,,,,,0.9,,,,,,,,1.159,,,,,,
10000040,,,,,,,0.39799999999999996,,,,,,,,,0.659,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.278,,2.333,,,,0.732,,,,,,,0.16699999999999998,,,,,,,,,,,,,0.0,,1.155,,,0.583,,1.0,1.2229999999999999,,,,,,,,,,,,,,,,0.794,1.0,,,,,,,0.977,,,,,,0.6659999999999999,,,,,,,,,,,
10000041,,,,,,,1.286,,,,,,,,,0.33399999999999996,,,,,,,,,,,,,0.9,,,,,,1.571,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501,,0.111,,,,0.40399999999999997,,,,,,,1.615,,,,,,,,,,,,,0.708,,1.6669999999999998,,1.157,0.16699999999999998,,1.429,1.4,,,,,,,,,,,,,,,,0.629,1.4,,,,,,,1.625,,,,,,0.833,,,,,,,,,,,
10000045,,0.41700000000000004,,,,,,,,,,,,,0.55,,,,,,0.685,,,,1.0170000000000001,0.6659999999999999,0.111,,,,,,,,0.266,,1.617,1.155,,,0.9,,,,,,,,0.0,0.953,,,,,,,0.762,0.523,0.111,,,,0.7170000000000001,,,,,,0.158,,,,,,,,0.5720000000000001,,,0.624,,,0.807,0.591,,,,,,,0.1,,,1.083,,,,,,,,,,,,,,,,,,,,,0.429,,,,,,,,,,,,,,,,,,,,,,
10000073,,,,,,,,,,,1.1,,,,,,,,,,,,,0.5820000000000001,,,,,,,,,,,,,,,,,,,,,0.5,,0.41700000000000004,,,,,0.33399999999999996,,,,,,,0.44,,0.988,,,,,,,1.0,,,0.637,,,,,,,,0.804,,,,,,,,0.764,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.133,,,,,,,
10000077,,,,,,,,,,,,,,,,,,,,1.357,,,0.86,,,,,,,0.332,,1.2919999999999998,,0.948,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.953,,,0.774,1.169,,,,,,,,,,,,0.708,,,,0.461,,,,0.9690000000000001,,,,0.5,,,,,,,,,0.904,,,,,,,,0.46399999999999997,,,,,,
10000081,,,,,,,,,,,,,0.33399999999999996,,,,,1.0759999999999998,0.6659999999999999,,,,,,,,,,,,0.81,,,,,0.33399999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.412,,,,,,,,,0.7929999999999999,0.7170000000000001,,,,,0.33399999999999996,,0.0,,,,,,0.597,,0.33399999999999996,,,,,,,0.546,,,0.5329999999999999,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.34700000000000003,0.762,,,,,,0.33399999999999996,,,,
10000082,,,,,,,,,,,0.33399999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,0.16699999999999998,,,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000084,,,,,,,,,,,1.375,,,0.804,,,0.182,,,,,0.33299999999999996,,1.0,,,0.33399999999999996,,,,,,0.94,,0.34299999999999997,,,,,,,,,,,,,,,,,,,,,,0.637,0.555,,,,0.28600000000000003,,1.0090000000000001,,,0.444,,,0.192,,,,,,,,1.194,0.9,,0.813,,,,,,0.358,,,,,,,,,,,0.5,0.513,,,,,,,,1.1420000000000001,,,,,,,,1.55,,,0.444,,,,,,,,,,,,,,,,,,,
10000089,,,,,,,,,,,,,,,,,,,,0.5720000000000001,,,,,,,,,,0.8440000000000001,,1.171,,0.7659999999999999,,,,,,0.8190000000000001,,,,,,,,,,,,,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804,,,1.0070000000000001,0.805,,,,,1.125,,,,,,,0.9440000000000001,,,,0.8590000000000001,,,,0.816,,,,1.166,,,,,,,,,1.778,,,,,,,,0.9,,,,,,
10000121,,,,,,,,,,,,,,,0.555,,,,,,0.414,,,,0.65,,0.308,,,,,,,,0.429,,0.9640000000000001,0.7879999999999999,,,,,,,,,,,0.875,0.5,,,,,,,0.47100000000000003,0.0,1.0,,,,0.14300000000000002,,,,,,1.1440000000000001,,,,,,,,1.117,,,0.611,,,0.125,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000123,,,,,,,,,,,,,,,,0.16699999999999998,,,,,,0.0,,,,,,,,0.16699999999999998,,,,,,1.055,,,,,,,,,,,,0.16699999999999998,,,,,,,,1.165,,,,,,,,,0.5329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.3330000000000002,,,,,,,,0.8340000000000001,,,,,,,1.238,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
10000125,,0.474,,,,,,,,,,,,,0.563,,,,,,0.243,,,,1.0490000000000002,0.311,0.38799999999999996,,,,,,,,0.5,,0.28600000000000003,0.297,,,,,,,,,,,0.904,0.838,,,,,,,0.645,0.6709999999999999,0.6809999999999999,,,,0.8190000000000001,,,,,,0.722,,,,,,,,1.038,,,0.826,,,0.802,1.516,,,,,,,2.251,,,0.856,,,,,,,,,,,,,,,1.381,,,,,,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,
10000126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,0.858,,,,,,,,,,,,,,,,,,,,,1.4669999999999999,,,,,,
10000129,,,,,,,,,,,,,,,0.5760000000000001,,,,,,1.162,,,,2.349,0.6609999999999999,1.125,,,,,,,,0.792,,0.511,0.516,,,1.4580000000000002,,,,,,,,1.0,0.782,,,,,,,1.0759999999999998,0.531,0.6509999999999999,,,,0.62,,,,,,0.988,,,,,,,,0.7509999999999999,,,0.927,,,0.745,0.485,,,,,,,1.555,,,1.129,,,,,,,,,,,,,,,1.089,,,,,,0.833,,,,,,,,,,,,,,,,,,,,,,
10000137,,0.214,,,,,,,,,,,,,0.8320000000000001,,,,,,0.6559999999999999,,,,0.38799999999999996,0.588,0.45,,,,,,,,0.8290000000000001,,0.485,0.174,,,0.444,,,,,,,,0.182,1.11,,,,,,,0.8079999999999999,1.1079999999999999,0.823,,,,0.968,0.75,,,,,0.6920000000000001,,,,,,,,0.74,,,0.7759999999999999,,,0.8740000000000001,0.45299999999999996,,,,,,,0.988,,,0.648,,,,,,,,,,,,,,,1.214,,,,,,0.425,,,,,,,,,,,,,,,,,,,,,,
10000163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929,,,,,,,,,,,,,,,,,,,,,,,,,0.6659999999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000164,,,,,,,,0.733,,,0.34700000000000003,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364,,,,,,,,,,,0.69,,,,,,,,0.354,1.4769999999999999,,,,,0.42100000000000004,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000165,,,,,1.0959999999999999,,,0.9209999999999999,,,0.49200000000000005,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,0.609,0.6970000000000001,,,,,,,1.5,,,0.43,,,,,,,0.591,0.8290000000000001,0.745,,,,,0.47600000000000003,0.364,,,,,,,,,,,,,,0.33299999999999996,1.285,,,,,,,,,,,,,,,,,0.46399999999999997,,,,,,,,,,,,,,,,,,,,,
10000173,,,,,1.141,,,0.594,,,0.408,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,1.319,,,,,,,1.725,,,,,,,,,,,,,0.8270000000000001,1.043,,0.836,,,,,0.345,,,0.7040000000000001,,,,,,,0.872,0.685,1.043,,,,,1.0270000000000001,0.49,,,0.28600000000000003,,,,,,,,,,,0.606,1.2,,,,,,,,,,,,,,,,,0.762,,,,,,,,,,,,,,,,,,,0.833,,
10000174,,,0.5,,,,0.5329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1540000000000001,,,,,,,,,0.833,,,,0.488,0.5,,,,,,,,,,,,,,,,,,,,0.6659999999999999,,1.8,,,,,,,,,,,,,,,,,,0.237,,,,0.7090000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000176,,,,,,,,0.9309999999999999,,,0.8590000000000001,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,0.9,,,,,,,,,,,,,0.7020000000000001,0.28800000000000003,,0.8340000000000001,,,,,0.33399999999999996,,,0.579,,,,,,,1.008,1.2409999999999999,0.8240000000000001,,,,,0.387,0.899,,,,,,,,,,,,,,0.883,1.508,,,,,,,,,,,,,,,,,0.953,,,,,,,,,,,,,,,,,,,,,
10000177,,,,,0.34700000000000003,,,0.8140000000000001,,,1.156,,,,,,1.089,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.445,1.0170000000000001,,,,,,,,,,0.344,,,,,,,0.302,0.509,0.467,,,,,0.6940000000000001,0.977,,,,,,,,,,,,,,0.585,0.0,,,,,,,,,,,,,,,,,0.42200000000000004,,,,,,,,,,,,,,,,,,,,,
10000209,,1.0,,,,,,,,,,,,,,,,,,,,,,0.584,,,,,,,,,,,,,0.812,,,,,,,,,,,,0.536,,,,,,,,,,,,,,,,,,0.2,,0.182,,,1.0,1.847,0.182,0.75,,0.111,,,0.45299999999999996,,,,1.084,,,,,,,,,,,,,,,,,,,,,,,0.75,0.9,,,,,,,,,1.8330000000000002,,,,,,,,,,,,,,,,,,,,
10000213,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.888,,,,0.34700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.41700000000000004,,,1.222,0.5,,,,0.5329999999999999,,,,,,,,,,,,,,,0.625,1.375,,0.0,,,1.444,,,,,,,0.6659999999999999,,,,
10000214,,,,,,,,,,,,,,,,,,0.43200000000000005,,0.16699999999999998,0.6509999999999999,,,,,,,,,0.4,0.742,,,,,,,,,,,,,,,,,,,,,,0.625,0.444,,0.6659999999999999,,0.444,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000215,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000217,0.244,,,,,0.821,,,,,,,,,,,,,,,,,,,1.314,,,0.6659999999999999,1.222,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,,,,,,,,,,1.188,,,,,,,,,,,,,,,,,,,,,0.8340000000000001,0.94,,,0.33299999999999996,0.182,,,,1.5830000000000002,,,,,,,,,,,,,,,,0.5,,0.0,,,1.238,,,,,,,0.142,,,,
10000219,,,,,,,,,,,1.3330000000000002,,,0.632,,,,,,,,,,0.858,,,0.28600000000000003,,,,,,0.23600000000000002,,0.413,,,,,,,,,,,,,,,,,,,,,,,0.555,,,,0.462,,0.604,,,0.504,,,1.115,,,,,,,,1.3330000000000002,,,,,,,,,0.7509999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.571,,,0.6609999999999999,,,,,,,,,,,,0.0,,,,,,,
10000220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000225,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,0.34700000000000003,,,,,0.0,,,,,0.595,,,,,,,,,,,1.0,,,0.40399999999999997,,,,,,0.75,,,1.5,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000227,,,0.425,,,,0.804,,,,,,,,,,,,,,,0.429,,,,,,,0.14300000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.727,,,,,,0.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16699999999999998,,,,,,,,,,,,,,
10000258,,1.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.307,,1.167,0.885,,,,,,,,,,,0.47200000000000003,0.66,,,,,,0.833,,,,,,,,,,,1.2229999999999999,,0.7170000000000001,0.41,,,0.6659999999999999,,0.6659999999999999,,0.6859999999999999,,,0.5329999999999999,,,,,,,,,,,1.228,,,0.733,,,,,,,,,,,,,,0.888,,,,,,,,,1.0090000000000001,,,,,,,,,,,,,,,,,,,,
10000260,,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9390000000000001,,0.0,,,,,,,,,,,,,,,,,,,,,,1.319,,,0.166,,,,,,,,,,,,,,,,,,,,,,0.33299999999999996,0.708,,,,,,,,,,,,,,,,,,,,
10000261,,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.111,,0.33399999999999996,,,,,,,,0.875,,,,,,,,,,,,,,0.733,,,0.625,,,,,,,,,,,,,,,,,,,,,,,0.856,,,,,,,,,,,,,,,,,,,,
10000266,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27699999999999997,,,0.87,,,,,,,,,,,,0.715,,,,,,,,,,,,,,,,,0.457,,0.33399999999999996,1.3330000000000002,,,1.4280000000000002,,,,1.169,,,0.33399999999999996,,,,,,,,,,,1.571,,,0.938,,,,,,,,,,,,,,1.238,,,,,,,,,1.071,,,,,,,,,,,,,,,,,,,,
10000271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.071,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33299999999999996,,,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000301,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,0.6609999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637,,,,,,,,,0.705,0.635,,,,,,,,,,,,,0.6659999999999999,,0.28600000000000003,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.971,,,,,,,,,,
10000302,,,,,,,,,,,,,0.708,,,,,0.16699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.9229999999999999,,,,,,,,,,,,,0.775,,0.9,,,,,,,,,,,,,,,,,,,,0.16699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000304,,,,,,,,,,,,,,0.875,,,,,,,,0.612,,0.7509999999999999,,,0.111,1.24,,,,,0.28600000000000003,,0.833,,,,,,,,,,,,,,,,,,,,,,0.8190000000000001,1.5,,,,0.336,,0.23,,,0.91,,,,,,,,,,,,,,,,,,,,0.888,,,,,,,,,0.5329999999999999,,,,,,,,,,,,,,,,,,,1.167,,,,,,,,,,,,,,,0.667,,,,,,,
10000305,0.091,,,,,0.634,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.431,0.946,,,,,,,,,,,,,0.591,1.089,0.65,,1.75,,,,,,,,0.16699999999999998,,,,,,,,,,,,,,,,,,,,0.5,,,0.16699999999999998,,,,,,,,,,,,,,
10000311,0.698,,,,,,,,,,,,0.222,,,,,0.963,,,,,,,,,,,,,0.536,1.5,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,0.8,0.7809999999999999,,,,,0.16699999999999998,,,,,,,,1.2,,0.75,,,,,,,0.7170000000000001,,,0.5329999999999999,2.833,,,,,,,,,0.778,,,,,,,,,,,,,,,,,0.708,,,,,,,,,,
10000312,1.079,,,,,,,,,,,,1.0,,,,,0.809,1.857,,,,,,,,,,,,1.177,0.585,,1.015,,1.0959999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491,,,,,,,,,0.6970000000000001,1.053,,,,,0.33399999999999996,,0.33399999999999996,,,,,,1.339,,1.122,,,,,,,1.247,,,1.5,0.879,,,,,,,,,0.083,,,,,,,,,,,0.6659999999999999,,,,,0.39299999999999996,2.278,,,,,,1.213,,,,
10000314,0.34600000000000003,,,0.142,,0.731,,,,,,,,,,,,,,,,,,,,,,,,1.857,0.8170000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,0.145,,,,,,,,,,,,,0.652,0.515,0.92,,0.773,,,,,,,,0.5,,,,,1.175,,,,,0.606,,,,,,,,,,0.33399999999999996,,,,,,,,,,,,,,,,,
10000317,0.5,,,,,,,,,,,,0.6609999999999999,,,,,1.137,,,,,,,,,,,,,,1.319,,1.143,,0.573,,,,,,,,,,,,0.75,,,0.9,,,,,,,,,,,,,,1.181,,,,,,,,,0.599,0.433,,,,,0.16699999999999998,,0.0,,,,,,0.466,,0.473,,,,,,,0.522,,,0.75,1.0,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,
10000343,,,,,,,,,,0.5,0.77,,1.1,,,,0.21,0.534,,,,,,,,,,,,,,,,,,,,0.85,,,,,0.9670000000000001,,,,,,,,,,,,,,0.531,,0.41700000000000004,,,,,,,,0.584,,,,1.0,,,,,,,,1.0,0.833,,,,,0.2,,0.696,,,,,,,,,,,,,,,,,,,,,,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000344,,,,,,,,,,,,,,,,,,,,,,,,0.182,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,0.762,,0.705,,0.41100000000000003,,,,,,0.28600000000000003,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,
10000346,,,,,,,,,,,,,,,,,,,,0.34299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33399999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6659999999999999,,,
10000350,,,,,,,,1.222,,0.517,1.0490000000000002,,0.872,,,,0.813,0.42200000000000004,,,,,,0.5720000000000001,,,,,,,,,,,,,,0.693,,,,,0.0,,0.899,,,,,,,,,,,,0.5539999999999999,,0.41200000000000003,,0.946,,0.917,,,0.2,0.879,,,0.757,1.183,,,,,,,,1.043,0.92,,,,,0.8,,0.903,,,,1.94,,,0.41700000000000004,,,,,,,,,,,,,,,0.0,,,,,,,,1.083,,,,,,,,,,,,,,,,,,,,
